,Postcode,Borough,Street,Latitude,Longitude,Coordinates,Clusters
1029,03-910,Praga-Południe,al. J. Waszyngtona,52.2393,21.0585,"52.2393, 21.0585",27
1030,04-015,Praga-Południe,al. J. Waszyngtona,52.2426,21.0737,"52.2426, 21.0737",25
1031,04-008,Praga-Południe,al. J. Waszyngtona,52.2432,21.0761,"52.2432, 21.0761",25
1032,04-074,Praga-Południe,al. J. Waszyngtona,52.244,21.0799,"52.244, 21.0799",25
1033,04-076,Praga-Południe,al. J. Waszyngtona,52.244,21.0811,"52.244, 21.0811",25
1034,04-030,Praga-Południe,al. J. Waszyngtona,52.2408,21.0726,"52.2408, 21.0726",25
1035,03-901,Praga-Południe,al. Józefa Poniatowskiego,52.2385,21.0468,"52.2385, 21.0468",27
1036,03-965,Praga-Południe,al. Stanów Zjednoczonych,52.2088,21.1098,"52.2088, 21.1098",40
1037,03-964,Praga-Południe,al. Stanów Zjednoczonych,52.2286,21.0646,"52.2286, 21.0646",27
1038,03-947,Praga-Południe,al. Stanów Zjednoczonych,52.2291,21.0634,"52.2291, 21.0634",27
1039,04-036,Praga-Południe,al. Stanów Zjednoczonych,52.2378,21.0811,"52.2378, 21.0811",25
1040,04-028,Praga-Południe,al. Stanów Zjednoczonych,52.2401,21.0809,"52.2401, 21.0809",25
1041,03-727,Praga-Południe,al. Zieleniecka,52.2466,21.0476,"52.2466, 21.0476",26
1042,04-142,Praga-Południe,pl. P. Szembeka,52.2431,21.1027,"52.2431, 21.1027",24
1043,03-944,Praga-Południe,pl. Przymierza,52.2261,21.0648,"52.2261, 21.0648",27
1044,03-988,Praga-Południe,pl. T. Kotarbińskiego,52.2204,21.0986,"52.2204, 21.0986",40
1045,04-053,Praga-Południe,ul. 1 Praskiego Pułku,52.2377,21.084,"52.2377, 21.084",25
1046,03-983,Praga-Południe,ul. 21 PP Dzieci Warszawy,52.2238,21.0831,"52.2238, 21.0831",25
1047,03-803,Praga-Południe,ul. A. Frycza Modrzewskiego,52.2495,21.0541,"52.2495, 21.0541",27
1048,04-143,Praga-Południe,ul. A. Kordeckiego,52.2425,21.1064,"52.2425, 21.1064",24
1049,04-327,Praga-Południe,ul. A. Kordeckiego,52.2433,21.1026,"52.2433, 21.1026",24
1050,04-330,Praga-Południe,ul. A. Kordeckiego,52.2442,21.0984,"52.2442, 21.0984",24
1051,04-355,Praga-Południe,ul. A. Kordeckiego,52.2452,21.0937,"52.2452, 21.0937",25
1052,03-930,Praga-Południe,ul. A. Nobla,52.2337,21.0588,"52.2337, 21.0588",27
1053,03-919,Praga-Południe,ul. A. Nobla,52.2359,21.0575,"52.2359, 21.0575",27
1054,03-913,Praga-Południe,ul. Adampolska,52.2387,21.0614,"52.2387, 21.0614",27
1055,03-966,Praga-Południe,ul. Afrykańska,52.2256,21.0711,"52.2256, 21.0711",27
1056,03-977,Praga-Południe,ul. Algierska,52.2233,21.0756,"52.2233, 21.0756",27
1057,03-972,Praga-Południe,ul. Alzacka,52.2254,21.0651,"52.2254, 21.0651",27
1058,04-367,Praga-Południe,ul. Apteczna,52.2465,21.081999999999997,"52.2465, 21.081999999999997",25
1059,03-952,Praga-Południe,ul. Argentyńska,52.2269,21.0619,"52.2269, 21.0619",27
1060,03-978,Praga-Południe,ul. Ateńska,52.2242,21.0663,"52.2242, 21.0663",27
1061,03-982,Praga-Południe,ul. Awionetki RWD,52.225,21.094,"52.225, 21.094",25
1062,04-223,Praga-Południe,ul. B. Kicińskiego,52.2373,21.125999999999998,"52.2373, 21.125999999999998",8
1063,03-963,Praga-Południe,ul. Bajońska,52.2256,21.0579,"52.2256, 21.0579",27
1064,04-222,Praga-Południe,ul. Bakaliowa,52.2377,21.1267,"52.2377, 21.1267",8
1065,04-339,Praga-Południe,ul. Barwnicza,52.2496,21.1028,"52.2496, 21.1028",24
1066,03-904,Praga-Południe,ul. Berezyńska,52.2361,21.0503,"52.2361, 21.0503",27
1067,03-908,Praga-Południe,ul. Berezyńska,52.2371,21.054000000000002,"52.2371, 21.054000000000002",27
1068,03-976,Praga-Południe,ul. Berneńska,52.2234,21.0637,"52.2234, 21.0637",27
1069,04-287,Praga-Południe,ul. Beskidzka,52.2424,21.116999999999997,"52.2424, 21.116999999999997",24
1070,04-063,Praga-Południe,ul. Białowieska,52.2381,21.0917,"52.2381, 21.0917",25
1071,04-303,Praga-Południe,ul. Biłgorajska,52.2452,21.1121,"52.2452, 21.1121",24
1072,04-216,Praga-Południe,ul. Biskupia,52.2398,21.1218,"52.2398, 21.1218",8
1073,04-304,Praga-Południe,ul. Bitwy Grochowskiej,52.243,21.1105,"52.243, 21.1105",24
1074,03-804,Praga-Południe,ul. Bliska,52.2493,21.0565,"52.2493, 21.0565",27
1075,04-309,Praga-Południe,ul. Boremlowska,52.2467,21.1094,"52.2467, 21.1094",24
1076,04-321,Praga-Południe,ul. Boremlowska,52.2479,21.1046,"52.2479, 21.1046",24
1077,04-338,Praga-Południe,ul. Boremlowska,52.2487,21.1018,"52.2487, 21.1018",24
1078,04-347,Praga-Południe,ul. Boremlowska,52.2494,21.0996,"52.2494, 21.0996",24
1079,04-044,Praga-Południe,ul. Bracławska,52.2324,21.0786,"52.2324, 21.0786",25
1080,03-946,Praga-Południe,ul. Brazylijska,52.2309,21.0647,"52.2309, 21.0647",27
1081,04-946,Praga-Południe,ul. Brazylijska,52.161,21.2247,"52.161, 21.2247",2
1082,03-973,Praga-Południe,ul. Brukselska,52.2247,21.0636,"52.2247, 21.0636",27
1083,03-984,Praga-Południe,ul. Brygady Pościgowej,52.2185,21.1106,"52.2185, 21.1106",40
1084,04-119,Praga-Południe,ul. Budrysów,52.2369,21.0917,"52.2369, 21.0917",25
1085,04-092,Praga-Południe,ul. Budrysów,52.2389,21.09,"52.2389, 21.09",25
1086,03-971,Praga-Południe,ul. Bułgarska,52.2263,21.0624,"52.2263, 21.0624",27
1087,04-047,Praga-Południe,ul. Busolowa,52.2316,21.0828,"52.2316, 21.0828",25
1088,04-310,Praga-Południe,ul. Byczyńska,52.2474,21.1078,"52.2474, 21.1078",24
1089,04-320,Praga-Południe,ul. Chłodnicza,52.2483,21.105,"52.2483, 21.105",24
1090,03-826,Praga-Południe,ul. Chodakowska,52.2491,21.0672,"52.2491, 21.0672",27
1091,03-815,Praga-Południe,ul. Chodakowska,52.2492,21.0663,"52.2492, 21.0663",27
1092,03-816,Praga-Południe,ul. Chodakowska,52.2519,21.0659,"52.2519, 21.0659",27
1093,04-068,Praga-Południe,ul. Chroszczewska,52.2419,21.0818,"52.2419, 21.0818",25
1094,04-214,Praga-Południe,ul. Cukrownicza,52.2411,21.124000000000002,"52.2411, 21.124000000000002",8
1095,04-060,Praga-Południe,ul. Cyraneczki,52.2414,21.079,"52.2414, 21.079",25
1096,04-066,Praga-Południe,ul. Czapelska,52.2419,21.0847,"52.2419, 21.0847",25
1097,04-081,Praga-Południe,ul. Czapelska,52.2433,21.0875,"52.2433, 21.0875",25
1098,04-218,Praga-Południe,ul. Czechowicka,52.2375,21.1237,"52.2375, 21.1237",8
1099,03-902,Praga-Południe,ul. Czeska,52.2358,21.0495,"52.2358, 21.0495",27
1100,04-091,Praga-Południe,ul. Darłowska,52.2386,21.0873,"52.2386, 21.0873",25
1101,04-354,Praga-Południe,ul. Daszowska,52.2457,21.0948,"52.2457, 21.0948",25
1102,03-932,Praga-Południe,ul. Dąbrowiecka,52.2328,21.051,"52.2328, 21.051",27
1103,03-909,Praga-Południe,ul. Dąbrówki,52.2362,21.0558,"52.2362, 21.0558",27
1104,04-187,Praga-Południe,ul. Dęblińska,52.2376,21.1146,"52.2376, 21.1146",24
1105,04-308,Praga-Południe,ul. Dęby,52.2474,21.1093,"52.2474, 21.1093",24
1106,04-003,Praga-Południe,ul. Dobrowoja,52.2448,21.0798,"52.2448, 21.0798",25
1107,03-809,Praga-Południe,ul. Drewnicka,52.2487,21.0647,"52.2487, 21.0647",27
1108,03-969,Praga-Południe,ul. Drezdeńska,52.2273,21.0659,"52.2273, 21.0659",27
1109,04-331,Praga-Południe,ul. Dubieńska,52.2452,21.0988,"52.2452, 21.0988",24
1110,04-317,Praga-Południe,ul. Dudziarska,52.2571,21.1019,"52.2571, 21.1019",24
1111,04-292,Praga-Południe,ul. Dynowska,52.245,21.1168,"52.245, 21.1168",24
1112,03-907,Praga-Południe,ul. Elsterska,52.2373,21.0542,"52.2373, 21.0542",27
1113,03-903,Praga-Południe,ul. Estońska,52.2367,21.0496,"52.2367, 21.0496",27
1114,03-980,Praga-Południe,ul. F. Znanieckiego,52.2258,21.1041,"52.2258, 21.1041",40
1115,04-045,Praga-Południe,ul. F. Żymirskiego,52.2319,21.0816,"52.2319, 21.0816",25
1116,04-116,Praga-Południe,ul. Filomatów,52.2377,21.0948,"52.2377, 21.0948",25
1117,03-906,Praga-Południe,ul. Francuska,52.2332,21.0548,"52.2332, 21.0548",27
1118,03-905,Praga-Południe,ul. Francuska,52.2361,21.053,"52.2361, 21.053",27
1119,04-057,Praga-Południe,ul. Fundamentowa,52.2393,21.0822,"52.2393, 21.0822",25
1120,04-078,Praga-Południe,ul. G. Garibaldiego,52.2436,21.0829,"52.2436, 21.0829",25
1121,04-356,Praga-Południe,ul. Garwolińska,52.2455,21.0908,"52.2455, 21.0908",25
1122,04-348,Praga-Południe,ul. Garwolińska,52.2493,21.0929,"52.2493, 21.0929",24
1123,04-350,Praga-Południe,ul. Garwolińska,52.246,21.0918,"52.246, 21.0918",25
1124,04-137,Praga-Południe,ul. Gdecka,52.2405,21.1009,"52.2405, 21.1009",24
1125,04-120,Praga-Południe,ul. Gedymina,52.2369,21.0936,"52.2369, 21.0936",25
1126,04-125,Praga-Południe,ul. gen. A. E. Fieldorfa „Nila”,52.2337,21.0966,"52.2337, 21.0966",25
1127,03-940,Praga-Południe,ul. Genewska,52.2281,21.0551,"52.2281, 21.0551",27
1128,03-807,Praga-Południe,ul. Głucha,52.2481,21.0606,"52.2481, 21.0606",27
1129,03-810,Praga-Południe,ul. Gocławska,52.2482,21.0633,"52.2482, 21.0633",27
1130,04-212,Praga-Południe,ul. Gorzelnicza,52.2402,21.1263,"52.2402, 21.1263",8
1131,04-062,Praga-Południe,ul. Grenadierów,52.2385,21.0858,"52.2385, 21.0858",25
1132,04-052,Praga-Południe,ul. Grenadierów,52.2385,21.0848,"52.2385, 21.0848",25
1133,04-073,Praga-Południe,ul. Grenadierów,52.2422,21.0797,"52.2422, 21.0797",25
1134,04-007,Praga-Południe,ul. Grenadierów,52.2444,21.0763,"52.2444, 21.0763",25
1135,04-186,Praga-Południe,ul. Grochowska,52.2393,21.1124,"52.2393, 21.1124",24
1136,04-217,Praga-Południe,ul. Grochowska,52.2368,21.1221,"52.2368, 21.1221",8
1137,04-301,Praga-Południe,ul. Grochowska,52.2417,21.1068,"52.2417, 21.1068",24
1138,04-172,Praga-Południe,ul. Grochowska,52.2412,21.1068,"52.2412, 21.1068",24
1139,04-148,Praga-Południe,ul. Grochowska,52.2418,21.1037,"52.2418, 21.1037",24
1140,04-139,Praga-Południe,ul. Grochowska,52.2426,21.0996,"52.2426, 21.0996",24
1141,04-328,Praga-Południe,ul. Grochowska,52.2431,21.1002,"52.2431, 21.1002",24
1142,04-329,Praga-Południe,ul. Grochowska,52.2436,21.0976,"52.2436, 21.0976",24
1143,04-111,Praga-Południe,ul. Grochowska,52.2437,21.094,"52.2437, 21.094",25
1144,04-357,Praga-Południe,ul. Grochowska,52.245,21.0907,"52.245, 21.0907",25
1145,04-077,Praga-Południe,ul. Grochowska,52.245,21.0829,"52.245, 21.0829",25
1146,04-368,Praga-Południe,ul. Grochowska,52.2458,21.0816,"52.2458, 21.0816",25
1147,04-001,Praga-Południe,ul. Grochowska,52.2454,21.079,"52.2454, 21.079",25
1148,04-398,Praga-Południe,ul. Grochowska,52.2459,21.0782,"52.2459, 21.0782",25
1149,03-844,Praga-Południe,ul. Grochowska,52.2458,21.0721,"52.2458, 21.0721",27
1150,03-849,Praga-Południe,ul. Grochowska,52.2467,21.0708,"52.2467, 21.0708",27
1151,03-841,Praga-Południe,ul. Grochowska,52.2466,21.0672,"52.2466, 21.0672",27
1152,03-842,Praga-Południe,ul. Grochowska,52.2461,21.0679,"52.2461, 21.0679",27
1153,03-840,Praga-Południe,ul. Grochowska,52.2468,21.0632,"52.2468, 21.0632",27
1154,03-823,Praga-Południe,ul. Grochowska,52.2462,21.0625,"52.2462, 21.0625",27
1155,03-839,Praga-Południe,ul. Grochowska,52.247,21.0607,"52.247, 21.0607",27
1156,03-838,Praga-Południe,ul. Grochowska,52.2472,21.057,"52.2472, 21.057",27
1157,03-822,Praga-Południe,ul. Grochowska,52.2467,21.0561,"52.2467, 21.0561",27
1158,04-282,Praga-Południe,ul. Grochowska,52.2397,21.1159,"52.2397, 21.1159",24
1159,03-814,Praga-Południe,ul. Groszowicka,52.248000000000005,21.0684,"52.248000000000005, 21.0684",27
1160,04-305,Praga-Południe,ul. Hetmańska,52.2449,21.1098,"52.2449, 21.1098",24
1161,03-925,Praga-Południe,ul. Holenderska,52.2369,21.0615,"52.2369, 21.0615",27
1162,04-146,Praga-Południe,ul. I. Domeyki,52.244,21.1075,"52.244, 21.1075",24
1163,04-079,Praga-Południe,ul. I. Kruszewskiego,52.2416,21.0862,"52.2416, 21.0862",25
1164,04-086,Praga-Południe,ul. I. Kruszewskiego,52.2407,21.0872,"52.2407, 21.0872",25
1165,04-087,Praga-Południe,ul. Igańska,52.2408,21.0903,"52.2408, 21.0903",25
1166,04-083,Praga-Południe,ul. Igańska,52.2429,21.0888,"52.2429, 21.0888",25
1167,03-957,Praga-Południe,ul. Indyjska,52.227,21.0628,"52.227, 21.0628",27
1168,04-314,Praga-Południe,ul. J. Chłopickiego,52.2472,21.1064,"52.2472, 21.1064",24
1169,04-275,Praga-Południe,ul. J. Chłopickiego,52.2555,21.1168,"52.2555, 21.1168",8
1170,04-378,Praga-Południe,ul. J. Dwernickiego,52.2507,21.0831,"52.2507, 21.0831",25
1171,04-377,Praga-Południe,ul. J. Dwernickiego,52.2502,21.0814,"52.2502, 21.0814",25
1172,04-391,Praga-Południe,ul. J. Dwernickiego,52.2507,21.0803,"52.2507, 21.0803",25
1173,04-396,Praga-Południe,ul. J. Dwernickiego,52.25,21.0771,"52.25, 21.0771",25
1174,03-928,Praga-Południe,ul. J. Styki,52.2334,21.0569,"52.2334, 21.0569",27
1175,04-145,Praga-Południe,ul. J. Zaliwskiego,52.2432,21.1059,"52.2432, 21.1059",24
1176,03-801,Praga-Południe,ul. J. Zamoyskiego,52.2476,21.0465,"52.2476, 21.0465",26
1177,02-801,Praga-Południe,ul. J. Zamoyskiego,52.1453,21.0188,"52.1453, 21.0188",43
1178,04-171,Praga-Południe,ul. Jarocińska,52.2395,21.1059,"52.2395, 21.1059",24
1179,04-156,Praga-Południe,ul. Jarocińska,52.24,21.1036,"52.24, 21.1036",24
1180,04-204,Praga-Południe,ul. Jordanowska,52.2376,21.1278,"52.2376, 21.1278",8
1181,03-805,Praga-Południe,ul. Kamionkowska,52.2477,21.061999999999998,"52.2477, 21.061999999999998",27
1182,03-812,Praga-Południe,ul. Kamionkowska,52.2474,21.0676,"52.2474, 21.0676",27
1183,04-046,Praga-Południe,ul. Kapelanów AK,52.2297,21.0845,"52.2297, 21.0845",25
1184,04-112,Praga-Południe,ul. Karczewska,52.2414,21.0948,"52.2414, 21.0948",25
1185,04-042,Praga-Południe,ul. kard. A. Kakowskiego,52.2313,21.0864,"52.2313, 21.0864",25
1186,04-167,Praga-Południe,ul. Kawcza,52.2382,21.1034,"52.2382, 21.1034",24
1187,04-152,Praga-Południe,ul. Kawcza,52.24,21.1045,"52.24, 21.1045",24
1188,04-154,Praga-Południe,ul. Kawcza,52.2399,21.1044,"52.2399, 21.1044",24
1189,04-019,Praga-Południe,ul. Kinowa,52.2386,21.0758,"52.2386, 21.0758",25
1190,04-017,Praga-Południe,ul. Kinowa,52.2415,21.0727,"52.2415, 21.0727",25
1191,04-324,Praga-Południe,ul. Kiprów,52.246,21.1025,"52.246, 21.1025",24
1192,04-334,Praga-Południe,ul. Kiprów,52.2466,21.0999,"52.2466, 21.0999",24
1193,04-072,Praga-Południe,ul. Kirasjerów,52.2428,21.0806,"52.2428, 21.0806",25
1194,04-359,Praga-Południe,ul. Kobielska,52.2471,21.0873,"52.2471, 21.0873",25
1195,03-835,Praga-Południe,ul. Kobielska,52.248000000000005,21.0735,"52.248000000000005, 21.0735",27
1196,04-371,Praga-Południe,ul. Kobielska,52.2471,21.0832,"52.2471, 21.0832",25
1197,04-389,Praga-Południe,ul. Kobielska,52.2476,21.0832,"52.2476, 21.0832",25
1198,03-371,Praga-Południe,ul. Kobielska,52.2715,21.0444,"52.2715, 21.0444",26
1199,04-370,Praga-Południe,ul. Kobielska,52.2476,21.0809,"52.2476, 21.0809",25
1200,04-372,Praga-Południe,ul. Kobielska,52.2477,21.0781,"52.2477, 21.0781",25
1201,04-191,Praga-Południe,ul. Kokoryczki,52.2345,21.1232,"52.2345, 21.1232",8
1202,04-161,Praga-Południe,ul. Komorska,52.2387,21.101999999999997,"52.2387, 21.101999999999997",24
1203,04-149,Praga-Południe,ul. Komorska,52.2413,21.1033,"52.2413, 21.1033",24
1204,04-048,Praga-Południe,ul. Kompasowa,52.2317,21.0839,"52.2317, 21.0839",25
1205,04-285,Praga-Południe,ul. Koprzywiańska,52.24100000000001,21.1193,"52.24100000000001, 21.1193",8
1206,04-085,Praga-Południe,ul. Korytnicka,52.2415,21.088,"52.2415, 21.088",25
1207,04-109,Praga-Południe,ul. Korytnicka,52.2432,21.0915,"52.2432, 21.0915",25
1208,04-206,Praga-Południe,ul. Kresowa,52.2388,21.1306,"52.2388, 21.1306",8
1209,03-934,Praga-Południe,ul. Kryniczna,52.2292,21.0547,"52.2292, 21.0547",27
1210,04-082,Praga-Południe,ul. Krypska,52.2423,21.0873,"52.2423, 21.0873",25
1211,04-065,Praga-Południe,ul. Krypska,52.2415,21.0864,"52.2415, 21.0864",25
1212,04-105,Praga-Południe,ul. Krypska,52.2441,21.0916,"52.2441, 21.0916",25
1213,03-949,Praga-Południe,ul. Kubańska,52.2296,21.0592,"52.2296, 21.0592",27
1214,04-090,Praga-Południe,ul. Kutnowska,52.2395,21.0895,"52.2395, 21.0895",25
1215,04-294,Praga-Południe,ul. Kwatery Głównej,52.2435,21.1139,"52.2435, 21.1139",24
1216,04-373,Praga-Południe,ul. L. Kickiego,52.2472,21.0796,"52.2472, 21.0796",25
1217,04-397,Praga-Południe,ul. L. Kickiego,52.2483,21.08,"52.2483, 21.08",25
1218,04-390,Praga-Południe,ul. L. Kickiego,52.2517,21.0798,"52.2517, 21.0798",25
1219,04-369,Praga-Południe,ul. L. Kickiego,52.2469,21.0801,"52.2469, 21.0801",25
1220,04-361,Praga-Południe,ul. L. M. Paca,52.2487,21.0866,"52.2487, 21.0866",25
1221,04-386,Praga-Południe,ul. L. M. Paca,52.2494,21.083000000000002,"52.2494, 21.083000000000002",25
1222,04-376,Praga-Południe,ul. L. M. Paca,52.248999999999995,21.0796,"52.248999999999995, 21.0796",25
1223,04-379,Praga-Południe,ul. L. Mycielskiego,52.2518,21.0821,"52.2518, 21.0821",25
1224,04-387,Praga-Południe,ul. L. Mycielskiego,52.2481,21.0818,"52.2481, 21.0818",25
1225,04-050,Praga-Południe,ul. Latyczowska,52.2328,21.0849,"52.2328, 21.0849",25
1226,04-049,Praga-Południe,ul. Lechitów,52.2322,21.0841,"52.2322, 21.0841",25
1227,04-284,Praga-Południe,ul. Liwiecka,52.2416,21.1181,"52.2416, 21.1181",24
1228,03-921,Praga-Południe,ul. Londyńska,52.2369,21.063000000000002,"52.2369, 21.063000000000002",27
1229,03-974,Praga-Południe,ul. Lotaryńska,52.2242,21.0624,"52.2242, 21.0624",27
1230,03-970,Praga-Południe,ul. Lotaryńska,52.2257,21.0634,"52.2257, 21.0634",27
1231,04-192,Praga-Południe,ul. Lotnicza,52.2342,21.1241,"52.2342, 21.1241",8
1232,04-326,Praga-Południe,ul. Lubartowska,52.2446,21.1011,"52.2446, 21.1011",24
1233,03-802,Praga-Południe,ul. Lubelska,52.2492,21.0501,"52.2492, 21.0501",26
1234,04-002,Praga-Południe,ul. Lubomira,52.2448,21.076999999999998,"52.2448, 21.076999999999998",25
1235,04-210,Praga-Południe,ul. Ludwisarska,52.2405,21.1248,"52.2405, 21.1248",8
1236,04-316,Praga-Południe,ul. Łaziebna,52.2549,21.112,"52.2549, 21.112",8
1237,03-918,Praga-Południe,ul. Łotewska,52.2358,21.0473,"52.2358, 21.0473",27
1238,04-123,Praga-Południe,ul. Łukiska,52.2353,21.0963,"52.2353, 21.0963",25
1239,04-113,Praga-Południe,ul. Łukowska,52.2368,21.1107,"52.2368, 21.1107",24
1240,04-133,Praga-Południe,ul. Łukowska,52.2379,21.1008,"52.2379, 21.1008",24
1241,04-288,Praga-Południe,ul. Łysogórska,52.2418,21.1159,"52.2418, 21.1159",24
1242,04-088,Praga-Południe,ul. Majdańska,52.2403,21.0866,"52.2403, 21.0866",25
1243,04-110,Praga-Południe,ul. Majdańska,52.2425,21.0917,"52.2425, 21.0917",25
1244,04-319,Praga-Południe,ul. Makowska,52.2493,21.1071,"52.2493, 21.1071",24
1245,04-208,Praga-Południe,ul. Makowska,52.2408,21.1265,"52.2408, 21.1265",8
1246,04-341,Praga-Południe,ul. Makowska,52.25,21.1043,"52.25, 21.1043",24
1247,04-344,Praga-Południe,ul. Makowska,52.2525,21.096,"52.2525, 21.096",24
1248,04-280,Praga-Południe,ul. Makowska,52.2454,21.1164,"52.2454, 21.1164",24
1249,04-307,Praga-Południe,ul. Makowska,52.2483,21.1105,"52.2483, 21.1105",24
1250,04-202,Praga-Południe,ul. Marsa,52.2362,21.1289,"52.2362, 21.1289",8
1251,03-948,Praga-Południe,ul. Meksykańska,52.2305,21.0598,"52.2305, 21.0598",27
1252,04-215,Praga-Południe,ul. Metalowców,52.2415,21.1225,"52.2415, 21.1225",8
1253,04-069,Praga-Południe,ul. Męcińska,52.2421,21.0844,"52.2421, 21.0844",25
1254,04-080,Praga-Południe,ul. Męcińska,52.2434,21.0867,"52.2434, 21.0867",25
1255,04-041,Praga-Południe,ul. Międzyborska,52.2331,21.0861,"52.2331, 21.0861",25
1256,04-010,Praga-Południe,ul. Międzyborska,52.2425,21.0768,"52.2425, 21.0768",25
1257,04-013,Praga-Południe,ul. Międzyborska,52.2433,21.0756,"52.2433, 21.0756",25
1258,04-038,Praga-Południe,ul. Międzyborska,52.2369,21.0818,"52.2369, 21.0818",25
1259,04-040,Praga-Południe,ul. Międzyborska,52.2376,21.0817,"52.2376, 21.0817",25
1260,04-027,Praga-Południe,ul. Międzyborska,52.2389,21.0802,"52.2389, 21.0802",25
1261,04-024,Praga-Południe,ul. Międzyborska,52.2397,21.0796,"52.2397, 21.0796",25
1262,04-025,Praga-Południe,ul. Międzyborska,52.2406,21.0782,"52.2406, 21.0782",25
1263,03-939,Praga-Południe,ul. Międzynarodowa,52.2312,21.0673,"52.2312, 21.0673",27
1264,03-922,Praga-Południe,ul. Międzynarodowa,52.2345,21.0666,"52.2345, 21.0666",27
1265,03-806,Praga-Południe,ul. Mińska,52.2479,21.0572,"52.2479, 21.0572",27
1266,03-808,Praga-Południe,ul. Mińska,52.2488,21.061,"52.2488, 21.061",27
1267,03-828,Praga-Południe,ul. Mińska,52.2504,21.0668,"52.2504, 21.0668",27
1268,04-136,Praga-Południe,ul. Mlądzka,52.2402,21.0988,"52.2402, 21.0988",24
1269,04-004,Praga-Południe,ul. Modrzewiowa,52.2449,21.0813,"52.2449, 21.0813",25
1270,04-224,Praga-Południe,ul. Morgowa,52.2361,21.1276,"52.2361, 21.1276",8
1271,04-035,Praga-Południe,ul. Motorowa,52.2338,21.0813,"52.2338, 21.0813",25
1272,04-203,Praga-Południe,ul. Murmańska,52.2368,21.1284,"52.2368, 21.1284",8
1273,04-205,Praga-Południe,ul. Naddnieprzańska,52.236999999999995,21.1316,"52.236999999999995, 21.1316",8
1274,04-343,Praga-Południe,ul. Nasielska,52.2479,21.0993,"52.2479, 21.0993",24
1275,04-336,Praga-Południe,ul. Nasielska,52.247,21.0989,"52.247, 21.0989",24
1276,04-342,Praga-Południe,ul. Nasielska,52.2501,21.1016,"52.2501, 21.1016",24
1277,03-924,Praga-Południe,ul. Niekłańska,52.2356,21.0608,"52.2356, 21.0608",27
1278,03-915,Praga-Południe,ul. Niekłańska,52.238,21.0593,"52.238, 21.0593",27
1279,03-911,Praga-Południe,ul. Niekłańska,52.2391,21.0598,"52.2391, 21.0598",27
1280,04-362,Praga-Południe,ul. Nizinna,52.2495,21.0868,"52.2495, 21.0868",25
1281,03-821,Praga-Południe,ul. Nowińska,52.2511,21.0602,"52.2511, 21.0602",27
1282,03-931,Praga-Południe,ul. Nurska,52.2327,21.0536,"52.2327, 21.0536",27
1283,04-322,Praga-Południe,ul. Obarowska,52.2473,21.1039,"52.2473, 21.1039",24
1284,04-337,Praga-Południe,ul. Obarowska,52.2481,21.1012,"52.2481, 21.1012",24
1285,03-933,Praga-Południe,ul. Obrońców,52.2328,21.0514,"52.2328, 21.0514",27
1286,03-927,Praga-Południe,ul. Obrońców,52.2335,21.0569,"52.2335, 21.0569",27
1287,04-131,Praga-Południe,ul. Okuniewska,52.2396,21.0966,"52.2396, 21.0966",24
1288,04-281,Praga-Południe,ul. Olszynki Grochowskiej,52.2411,21.1204,"52.2411, 21.1204",8
1289,04-128,Praga-Południe,ul. Omulewska,52.2408,21.0957,"52.2408, 21.0957",25
1290,04-039,Praga-Południe,ul. Opinogórska,52.2329,21.0799,"52.2329, 21.0799",25
1291,04-211,Praga-Południe,ul. Osada Ojców,52.2378,21.1249,"52.2378, 21.1249",8
1292,04-173,Praga-Południe,ul. Osiecka,52.2388,21.1052,"52.2388, 21.1052",24
1293,04-302,Praga-Południe,ul. Osowska,52.2438,21.1092,"52.2438, 21.1092",24
1294,04-312,Praga-Południe,ul. Osowska,52.2445,21.1065,"52.2445, 21.1065",24
1295,04-325,Praga-Południe,ul. Osowska,52.2454,21.1025,"52.2454, 21.1025",24
1296,04-332,Praga-Południe,ul. Osowska,52.2461,21.0994,"52.2461, 21.0994",24
1297,04-351,Praga-Południe,ul. Osowska,52.2469,21.0942,"52.2469, 21.0942",25
1298,04-118,Praga-Południe,ul. Ostrobramska,52.2356,21.0936,"52.2356, 21.0936",25
1299,04-026,Praga-Południe,ul. Ostrobramska,52.2363,21.0823,"52.2363, 21.0823",25
1300,04-193,Praga-Południe,ul. Ostrobramska,52.2331,21.1188,"52.2331, 21.1188",8
1301,04-175,Praga-Południe,ul. Ostrobramska,52.2332,21.1081,"52.2332, 21.1081",24
1302,04-174,Praga-Południe,ul. Ostrobramska,52.238,21.1063,"52.238, 21.1063",24
1303,04-163,Praga-Południe,ul. Ostrobramska,52.2349,21.1013,"52.2349, 21.1013",24
1304,04-102,Praga-Południe,ul. Ostrołęcka,52.2427,21.0912,"52.2427, 21.0912",25
1305,03-825,Praga-Południe,ul. Owsiana,52.248999999999995,21.0685,"52.248999999999995, 21.0685",27
1306,04-219,Praga-Południe,ul. Pabianicka,52.2396,21.1249,"52.2396, 21.1249",8
1307,03-954,Praga-Południe,ul. Paryska,52.2266,21.0594,"52.2266, 21.0594",27
1308,03-935,Praga-Południe,ul. Paryska,52.2289,21.058000000000003,"52.2289, 21.058000000000003",27
1309,03-945,Praga-Południe,ul. Paryska,52.2293,21.057,"52.2293, 21.057",27
1310,04-164,Praga-Południe,ul. Perkuna,52.2322,21.104,"52.2322, 21.104",24
1311,04-180,Praga-Południe,ul. Perkuna,52.2328,21.1029,"52.2328, 21.1029",24
